epoch 085/150 | loss 0.0438 | train_acc 98.45% | test_acc 85.07%
epoch 086/150 | loss 0.0450 | train_acc 98.49% | test_acc 84.75%
epoch 087/150 | loss 0.0411 | train_acc 98.64% | test_acc 84.86%
epoch 088/150 | loss 0.0411 | train_acc 98.59% | test_acc 85.18%
epoch 089/150 | loss 0.0393 | train_acc 98.65% | test_acc 84.61%
epoch 090/150 | loss 0.0373 | train_acc 98.71% | test_acc 84.95%
epoch 091/150 | loss 0.0363 | train_acc 98.73% | test_acc 84.74%
epoch 092/150 | loss 0.0342 | train_acc 98.84% | test_acc 84.56%
epoch 093/150 | loss 0.0358 | train_acc 98.77% | test_acc 84.68%
epoch 094/150 | loss 0.0311 | train_acc 98.97% | test_acc 84.81%
epoch 095/150 | loss 0.0305 | train_acc 98.97% | test_acc 84.83%
epoch 096/150 | loss 0.0303 | train_acc 98.96% | test_acc 84.58%
epoch 097/150 | loss 0.0296 | train_acc 99.02% | test_acc 84.45%
epoch 098/150 | loss 0.0267 | train_acc 99.09% | test_acc 84.92%
epoch 099/150 | loss 0.0264 | train_acc 99.15% | test_acc 84.62%
epoch 100/150 | loss 0.0245 | train_acc 99.15% | test_acc 85.30%
epoch 101/150 | loss 0.0264 | train_acc 99.10% | test_acc 84.73%
epoch 102/150 | loss 0.0244 | train_acc 99.17% | test_acc 84.72%
epoch 103/150 | loss 0.0231 | train_acc 99.25% | test_acc 84.90%
epoch 104/150 | loss 0.0219 | train_acc 99.27% | test_acc 85.49%
epoch 105/150 | loss 0.0184 | train_acc 99.39% | test_acc 85.31%
epoch 106/150 | loss 0.0170 | train_acc 99.43% | test_acc 85.01%
epoch 107/150 | loss 0.0204 | train_acc 99.34% | test_acc 85.25%
epoch 108/150 | loss 0.0183 | train_acc 99.37% | test_acc 85.23%
epoch 109/150 | loss 0.0168 | train_acc 99.44% | test_acc 85.57%
epoch 110/150 | loss 0.0160 | train_acc 99.47% | test_acc 85.51%
epoch 111/150 | loss 0.0149 | train_acc 99.54% | test_acc 85.40%
epoch 112/150 | loss 0.0150 | train_acc 99.51% | test_acc 85.32%
epoch 113/150 | loss 0.0134 | train_acc 99.60% | test_acc 85.60%
epoch 114/150 | loss 0.0131 | train_acc 99.56% | test_acc 85.44%
epoch 115/150 | loss 0.0117 | train_acc 99.61% | test_acc 85.42%
epoch 116/150 | loss 0.0123 | train_acc 99.55% | test_acc 85.83%
epoch 117/150 | loss 0.0126 | train_acc 99.58% | test_acc 85.59%
epoch 118/150 | loss 0.0106 | train_acc 99.65% | test_acc 85.73%
epoch 119/150 | loss 0.0099 | train_acc 99.70% | test_acc 85.45%
epoch 120/150 | loss 0.0093 | train_acc 99.71% | test_acc 85.42%
epoch 121/150 | loss 0.0077 | train_acc 99.74% | test_acc 85.78%
epoch 122/150 | loss 0.0086 | train_acc 99.72% | test_acc 85.33%
epoch 123/150 | loss 0.0079 | train_acc 99.75% | test_acc 85.69%
epoch 124/150 | loss 0.0086 | train_acc 99.73% | test_acc 85.59%
epoch 125/150 | loss 0.0073 | train_acc 99.76% | test_acc 85.27%
epoch 126/150 | loss 0.0071 | train_acc 99.76% | test_acc 85.84%
epoch 127/150 | loss 0.0075 | train_acc 99.74% | test_acc 86.22%
epoch 128/150 | loss 0.0055 | train_acc 99.82% | test_acc 85.78%
epoch 129/150 | loss 0.0067 | train_acc 99.80% | test_acc 85.77%
epoch 130/150 | loss 0.0053 | train_acc 99.83% | test_acc 85.88%
epoch 131/150 | loss 0.0068 | train_acc 99.79% | test_acc 85.87%
epoch 132/150 | loss 0.0060 | train_acc 99.81% | test_acc 85.95%
epoch 133/150 | loss 0.0053 | train_acc 99.82% | test_acc 85.96%
epoch 134/150 | loss 0.0049 | train_acc 99.85% | test_acc 86.21%
epoch 135/150 | loss 0.0038 | train_acc 99.89% | test_acc 85.71%
epoch 136/150 | loss 0.0039 | train_acc 99.88% | test_acc 86.17%
epoch 137/150 | loss 0.0039 | train_acc 99.88% | test_acc 86.05%
epoch 138/150 | loss 0.0043 | train_acc 99.87% | test_acc 86.15%
epoch 139/150 | loss 0.0041 | train_acc 99.86% | test_acc 85.85%
epoch 140/150 | loss 0.0038 | train_acc 99.88% | test_acc 85.84%
epoch 141/150 | loss 0.0039 | train_acc 99.89% | test_acc 86.03%
epoch 142/150 | loss 0.0031 | train_acc 99.90% | test_acc 86.02%
epoch 143/150 | loss 0.0029 | train_acc 99.90% | test_acc 86.07%
epoch 144/150 | loss 0.0032 | train_acc 99.90% | test_acc 86.22%
epoch 145/150 | loss 0.0039 | train_acc 99.88% | test_acc 86.28%
epoch 146/150 | loss 0.0037 | train_acc 99.89% | test_acc 85.98%
epoch 147/150 | loss 0.0025 | train_acc 99.92% | test_acc 85.75%
epoch 148/150 | loss 0.0036 | train_acc 99.89% | test_acc 86.03%
epoch 149/150 | loss 0.0032 | train_acc 99.90% | test_acc 86.12%
epoch 150/150 | loss 0.0028 | train_acc 99.92% | test_acc 86.03%
