epoch 004/60 | loss 1.4015 | train_acc 48.95% | test_acc 51.61%
epoch 005/60 | loss 1.3555 | train_acc 50.57% | test_acc 51.31%
epoch 006/60 | loss 1.4001 | train_acc 48.75% | test_acc 48.66%
epoch 007/60 | loss 1.4061 | train_acc 48.83% | test_acc 49.27%
epoch 008/60 | loss 1.4029 | train_acc 49.00% | test_acc 50.31%
epoch 009/60 | loss 1.3902 | train_acc 49.32% | test_acc 50.25%
epoch 010/60 | loss 1.3602 | train_acc 50.63% | test_acc 51.00%
epoch 011/60 | loss 1.3815 | train_acc 49.66% | test_acc 52.22%
epoch 012/60 | loss 1.3831 | train_acc 50.08% | test_acc 52.57%
epoch 013/60 | loss 1.3264 | train_acc 52.00% | test_acc 54.06%
epoch 014/60 | loss 1.2897 | train_acc 53.26% | test_acc 54.69%
epoch 015/60 | loss 1.2671 | train_acc 54.10% | test_acc 53.18%
epoch 016/60 | loss 1.2551 | train_acc 54.60% | test_acc 56.07%
epoch 017/60 | loss 1.2220 | train_acc 55.49% | test_acc 56.66%
epoch 018/60 | loss 1.2220 | train_acc 55.75% | test_acc 55.73%
epoch 019/60 | loss 1.2096 | train_acc 56.36% | test_acc 58.10%
epoch 020/60 | loss 1.2095 | train_acc 56.31% | test_acc 55.48%
epoch 021/60 | loss 1.2139 | train_acc 56.10% | test_acc 57.60%
epoch 022/60 | loss 1.1699 | train_acc 57.46% | test_acc 57.90%
epoch 023/60 | loss 1.1552 | train_acc 58.14% | test_acc 60.03%
epoch 024/60 | loss 1.1385 | train_acc 59.23% | test_acc 59.38%
epoch 025/60 | loss 1.1410 | train_acc 58.93% | test_acc 60.49%
epoch 026/60 | loss 1.0982 | train_acc 60.56% | test_acc 60.91%
epoch 027/60 | loss 1.0725 | train_acc 61.23% | test_acc 63.04%
epoch 028/60 | loss 1.0700 | train_acc 61.39% | test_acc 61.68%
epoch 029/60 | loss 1.0402 | train_acc 62.61% | test_acc 63.15%
epoch 030/60 | loss 1.0115 | train_acc 63.58% | test_acc 64.93%
epoch 031/60 | loss 0.9889 | train_acc 64.40% | test_acc 64.85%
epoch 032/60 | loss 0.9761 | train_acc 65.04% | test_acc 65.06%
epoch 033/60 | loss 0.9497 | train_acc 65.76% | test_acc 66.99%
epoch 034/60 | loss 0.9214 | train_acc 66.93% | test_acc 66.46%
epoch 035/60 | loss 0.9071 | train_acc 67.38% | test_acc 67.42%
epoch 036/60 | loss 0.8840 | train_acc 68.22% | test_acc 67.80%
epoch 037/60 | loss 0.8625 | train_acc 69.26% | test_acc 68.77%
epoch 038/60 | loss 0.8397 | train_acc 70.09% | test_acc 70.36%
epoch 039/60 | loss 0.8215 | train_acc 70.64% | test_acc 70.74%
epoch 040/60 | loss 0.8027 | train_acc 71.37% | test_acc 70.71%
epoch 041/60 | loss 0.7802 | train_acc 72.37% | test_acc 71.88%
epoch 042/60 | loss 0.7616 | train_acc 72.95% | test_acc 71.46%
epoch 043/60 | loss 0.7410 | train_acc 73.59% | test_acc 72.94%
epoch 044/60 | loss 0.7228 | train_acc 74.21% | test_acc 73.34%
epoch 045/60 | loss 0.7035 | train_acc 75.07% | test_acc 73.48%
epoch 046/60 | loss 0.6885 | train_acc 75.61% | test_acc 73.18%
epoch 047/60 | loss 0.6668 | train_acc 76.21% | test_acc 74.70%
epoch 048/60 | loss 0.6481 | train_acc 76.95% | test_acc 75.09%
epoch 049/60 | loss 0.6352 | train_acc 77.55% | test_acc 75.19%
epoch 050/60 | loss 0.6168 | train_acc 78.00% | test_acc 75.32%
epoch 051/60 | loss 0.6026 | train_acc 78.51% | test_acc 75.61%
epoch 052/60 | loss 0.5919 | train_acc 78.95% | test_acc 76.43%
